FID,id,latitude,longitude,country,sample_size,hbaa,hbas,hbss,malaria_hypothesis,population_estimates,area_type,source,citation,country_id,malaria_metrics_available,identifiedproblem
HbS_Data.fid--5a9ebec4_181ab14c941_1cb5,311,-33.924,18.438,South Africa,1555,1546,9,,YES,NO,Large polygon (>100 km2),IBD00674,"Esrachowitz, S. R., Friedlander, S., Radloff, G., Saunders, S. 1952 The sickle cell trait in Cape coloured persons South African Medical Journal 26(12): 239-40.",ZAF,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ac9,401,-33.867,151.208,Australia,487,479,8,,NO,YES,Large polygon (>100 km2),IBD00881,"Harley, J. D., Agar, N.S., Turner, T.B. 1976 Letter: sickle-cell anaemia and trait in Sydney The Medical Journal of Australia 1 (23): 894.",AUS,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1cb6,312,-32.432,-71.235,Chile,479,479,0,0,NO,YES,Large polygon (>100 km2),IBD00678,"Etcheverry, R., C. Guzman, et al. (1967). ""[Investigation of blood groups and other genetic blood characteristics in Chilean natives. I. In Atacamenos and Mapuches]."" Revista Medica de Chile 95(10): 599-604.",CHL,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1eeb,1052,-31.7584,-52.9289,Brazil,9785,9634,151,,NO,YES,,IBD03117,"Sommer, C. K., Goldbeck, A.S., Wagner, S.C., Castro, S.M. 2006 [Neonatal screening for hemoglobinopathies: a one-year experience in the public health system in Rio Grande do Sul State, Brazil] Cadernos de Saude Publica 22 (8): 1709-14.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1eec,1053,-30.205,-51.1776,Brazil,55450,54729,721,,NO,YES,,IBD03117,"Sommer, C. K., Goldbeck, A.S., Wagner, S.C., Castro, S.M. 2006 [Neonatal screening for hemoglobinopathies: a one-year experience in the public health system in Rio Grande do Sul State, Brazil] Cadernos de Saude Publica 22 (8): 1709-14.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1eed,1054,-30.1863,-55.3426,Brazil,10217,10072,145,,NO,YES,,IBD03117,"Sommer, C. K., Goldbeck, A.S., Wagner, S.C., Castro, S.M. 2006 [Neonatal screening for hemoglobinopathies: a one-year experience in the public health system in Rio Grande do Sul State, Brazil] Cadernos de Saude Publica 22 (8): 1709-14.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1dcf,680,-30.04,-51.218,Brazil,46,46,0,0,YES,NO,Small polygon (>25 and ? 100 km2),IBD01763,"Salzano, F. M., F. J. Da Rocha, et al. (1968). ""Hemoglobin types and gene flow in Porto Alegre, Brazil."" Acta Genetica et Statistica Medica 18(5): 449-457.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e53,870,-30.04,-51.218,Brazil,1042,1029,8,3,NO,YES,Large polygon (>100 km2),IBD02471,"Daudt, L. E., D. Zechmaister, et al. (2002). ""[Neonatal screening for hemoglobinopathies: a pilot study in Porto Alegre, Rio Grande do Sul, Brazil]."" Cadernos de Saude Publica 18(3): 833-841.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1eee,1055,-29.738,-52.5685,Brazil,9249,9163,86,,NO,YES,,IBD03117,"Sommer, C. K., Goldbeck, A.S., Wagner, S.C., Castro, S.M. 2006 [Neonatal screening for hemoglobinopathies: a one-year experience in the public health system in Rio Grande do Sul State, Brazil] Cadernos de Saude Publica 22 (8): 1709-14.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1eef,1056,-29.5082,-54.1973,Brazil,5862,5798,64,,NO,YES,,IBD03117,"Sommer, C. K., Goldbeck, A.S., Wagner, S.C., Castro, S.M. 2006 [Neonatal screening for hemoglobinopathies: a one-year experience in the public health system in Rio Grande do Sul State, Brazil] Cadernos de Saude Publica 22 (8): 1709-14.",BRA,TRUE,FALSE
