ID,PMID,DOI,Hardy-Weinberg value,hbaa,hbas,hbss,HbAC,HbSC,HbCC,HbFA,HbFAS,HbFS,HbFSC,HbFAC,Other bloodtyping,Typing method,Demographic (age in years),Spatial location(s),ADM-0 (country),ADM-1,ADM-2,ADM-3,ADM-4,Adjusted longitude,Adjusted latitude,Original longitude,Original latitude,API ADM,API Lon,Lon-API Lon,API Lat,Lat-API Lat,Spatial accuracy,Area finest spatial unit [sq.km],Study period FROM,Study period TO,Publication year,identifiedproblem
1,31714694,10.13110/humanbiology.90.4.02,1.001286598,769,49,1,,,,,,,,,,genotyping,adults and adolescents,Buenaventura municipality,Colombia,Valle del Cauca Department,Buenaventura,,,-77.0710,3.8890,-77.0710,3.8890,Buenaventura,-77.0197,-0.0513,3.883047,0.0060,ADM-2,6292,NA,NA,2019,FALSE
2,24038490,10.1002/ajh.23578,,,,,,,,28182,7666,550,7,21,27,bloodtyping,newborns,two hospitals in Luanda,Angola,Luanda province,Luanda municipality,,,13.3171,-8.8678,13.3171,-8.8678,Luanda municipality,13.23018,0.0869,-8.81466,-0.0531,ADM-2,18835,1/7/2011,30/6/2013,2013,FALSE
3,26687956,10.1016/S2352-3026(15)00043-5,1.021369332,1206,220,2,103,11,1,,,,,,,HPLC,0.5-17 years,"Adjacent villages of Kenieroba, Fourda, and Bozokin",Mali,Koulikoro,Kati (to be checked),,"Kenieroba, Fourda, and Bozokin",-9.4932,13.1144,-9.4932,13.1144,"Kenieroba, Fourda, and Bozokin",-8.33151,-1.1617,12.11328,1.0011,ADM-4,625,5/1/2008,12/29/2011,2015,FALSE
4,31037173,10.11604/pamj.2018.31.113.15097,1.033699736,169,38,0,1,0,0,,,,,,,Sysmex haematology autoanalyser,1-14 years,"Majority of the patients: Lagos and other states in the southwest geopolitical zone of the country, with a few coming from the rest of Nigeria and neighbouring West African countries.",Nigeria,Lagos,Lagos,Yaba,,,,,,Yaba,,0.0000,,0.0000,ADM-0,,3/1/2017,7/31/2017,2018,FALSE
5,25271992,10.3109/03630269.2014.963234,1.025360749,359,68,0,115,9,19,,,,,,,electro-phoresis at alkaline pH,6-9 years,children attending the four public primary schools of the Agbande ?-Yaka Township in the administrationtown of Doufelgou in Togo,Togo,Kara,Doufelgou,,,1.0991,9.8069,1.0991,9.8069,Doufelgou,1.09694,0.0022,9.766113,0.0408,ADM-2,500,3/1/2010,6/30/2010,2014,FALSE
6,23513007,10.1177/1010539513480231,1.000918274,160,5,0,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Bondo tribe,India,Odisha,Malkangiri,,,81.9000,18.3500,81.9000,18.3500,Malkangiri,81.88253,0.0175,18.34359,0.0064,ADM-2,6000,1/1/2000,31/12/2005,2013,FALSE
7,23513007,10.1177/1010539513480231,0.9927807642,218,8,1,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Didayi tribe,India,Odisha,Malkangiri,,,81.9000,18.3500,81.9000,18.3500,Malkangiri,81.88253,0.0175,18.34359,0.0064,ADM-2,6000,1/1/2000,31/12/2005,2013,FALSE
8,23513007,10.1177/1010539513480231,0.9960162606,448,8,1,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Juanga tribe,India,Odisha,Kandhamal,,,84.0806,20.1608,84.0806,20.1608,Kandhamal,84.01674,0.0639,20.1342,0.0266,ADM-2,7600,1/1/2000,31/12/2005,2013,FALSE
9,23513007,10.1177/1010539513480231,0.9899377778,366,7,2,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Kondha tribe,India,Odisha,Keonjhar,,,85.5861,21.6245,85.5861,21.6245,Keonjhar,85.58168,0.0044,21.62893,-0.0044,ADM-2,8300,1/1/2000,31/12/2005,2013,FALSE
10,23513007,10.1177/1010539513480231,0.9925525105,535,61,6,,,,,,,,,,automated blood cell counter (Syxmex K-1000),2-70 years,Madia tribe,India,Maharshtra,Gadchiroli,,,80.0028,20.1854,80.0028,20.1854,Gadchiroli,79.9948,0.0080,20.18487,0.0005,ADM-2,14400,1/1/2000,31/12/2005,2013,FALSE
