Country	Admin level 1	Admin level 1 latitude	Admin level 1 longitude	pfsa1-	pfsa1+	pfsa2-	pfsa2+	pfsa3-	pfsa3+	pfsa4-	pfsa4+
Peru	Loreto	-4.123815175551502	-74.42407340431154	21	0	13	8	20	1	0	21
Colombia	Cauca	2.3862401006303804	-76.85724842563765	144	0	104	11	32	49	75	60
Colombia	Choco	5.987357329606449	-76.97111851122021	3	0	3	0	1	1	0	3
Colombia	Nariño	1.5634122870962743	-77.86731350630257	7	0	6	0	1	5	0	6
Colombia	Valle del Cauca	3.868855493654264	-76.53174509007637	3	0	3	0	1	2	0	3
Gambia	North Bank	13.507440523594134	-16.008546942570874	143	40	218	0	135	30	125	34
Gambia	Upper River	13.393778764364946	-14.160274326894532	291	191	590	1	212	277	289	178
Gambia	Western	13.245395650677096	-16.401558797417138	120	86	231	0	71	120	148	50
Senegal	Dakar	14.754650571505955	-17.265417547836126	61	27	92	0	47	37	58	33
Senegal	Sedhiou	12.893239122705827	-15.58691172518219	43	16	59	0	28	28	35	16
Guinea	Faranah	10.490027406387112	-10.658151668592318	34	10	43	0	27	12	22	18
Guinea	Nzerekore	8.43731555009309	-8.899059960499232	101	21	127	0	98	20	87	24
Mauritania	Guidimaka	15.376999837973292	-12.125583677443585	12	9	23	0	12	9	13	8
Mauritania	Hodh ech Chargui	18.193701422326136	-7.090179218347094	29	5	36	0	25	8	25	7
Mauritania	Hodh el Gharbi	16.56542590907422	-9.832345292162776	31	8	41	0	34	2	30	7
Cote_dIvoire	Abidjan	5.420295396755106	-4.064976069986563	61	6	71	0	62	6	56	9
Mali	Bamako	12.611017418895154	-7.979134549161317	181	21	212	0	169	22	164	22
Mali	Kayes	13.872913093027666	-10.230415775939257	282	84	374	0	264	84	263	75
Mali	Koulikoro	13.625339195081889	-7.645231383146999	768	113	935	0	760	99	655	116
Mali	Mopti	14.705152508430292	-3.5114094543309395	9	0	9	0	9	0	8	0
Mali	Segou	13.811434684937758	-5.697849245791836	34	4	45	0	40	5	31	2
Mali	Sikasso	11.432507489670176	-6.558964230612741	121	13	144	0	134	10	98	17
Burkina Faso	Haut-Bassins	11.367824195315556	-4.332121160132861	55	2	58	0	50	2	48	3
Ghana	Ashanti	6.803615670812159	-1.4485725106703229	246	24	282	0	245	29	232	21
Ghana	Brong Ahafo	7.706088398863169	-1.657978191052724	56	7	63	0	51	9	50	7
Ghana	Central	5.560964256901143	-1.1972257865739595	132	31	172	1	122	41	118	32
Ghana	Eastern	6.412756787319601	-0.4505892573939993	13	4	21	0	14	6	11	3
Ghana	Greater Accra	5.821748049301165	0.0658734217876137	145	43	198	0	140	43	135	31
Ghana	Upper East	10.77765187948338	-0.8205308249084282	2832	132	3135	1	2889	138	2441	132
Ghana	Volta	7.269001736217541	0.3920350236003925	32	6	41	0	31	6	29	7
Benin	Atlantique	6.611915560464792	2.2216427215441525	15	30	56	0	4	39	9	30
Benin	Littoral	6.364694713477673	2.4117898410010263	111	128	257	4	66	163	74	158
Nigeria	Kwara	8.982546250670028	4.372564825360083	5	3	8	0	5	3	4	2
Nigeria	Lagos	6.527058222002174	3.5649471762163705	63	46	126	0	47	58	60	39
Gabon	Wouleu-Ntem	1.4015914319182887	11.95253674193039	23	32	48	7	13	39	34	18
Cameroon	Sud-Ouest	5.198150004699693	9.290182087619106	124	95	279	0	91	139	105	102
Democratic Republic of the Congo	Kinshasa	-4.436710157417571	15.904240503498748	249	223	193	237	172	255	551	10
Sudan	Blue Nile	11.268473730347926	34.12537866739237	49	3	48	0	47	4	12	0
Sudan	Kassala	15.988690693657654	35.75077515403272	12	0	11	0	5	0	10	0
Sudan	Khartoum	15.843679159991453	32.801796548653485	105	7	112	3	94	15	101	1
Malawi	Chikwawa	-16.164373958934373	34.70894575518762	296	9	294	10	281	16	315	0
Malawi	Zomba	-15.398793800119762	35.4269531544933	51	0	51	0	52	0	52	0
Tanzania	Kagera	-1.8803861457582816	31.45392019268704	34	14	31	18	27	24	58	0
Tanzania	Kigoma	-4.76434034703418	30.40282728814669	88	63	79	61	83	62	162	0
Tanzania	Lindi	-9.480658483651156	38.40694617562176	71	2	70	2	66	2	73	0
Tanzania	Morogoro	-7.922830033549217	36.989146816935765	31	3	31	3	29	3	34	0
Tanzania	Tanga	-5.21799598658367	38.28187812207752	243	42	243	40	227	53	313	0
Mozambique	Gaza	-23.320472063617604	32.80408349681372	43	0	47	0	43	0	41	0
Kenya	Kilifi	-3.1744040197824845	39.68688817518743	499	99	478	109	459	111	646	2
Kenya	Kisumu	-0.1630328516399861	34.83440020084576	43	9	37	10	36	15	64	0
