country	longitude	latitude	polygon_id	source	Pfsa1_+	Pfsa1_N	Pfsa2_+	Pfsa2_N	Pfsa3_+	Pfsa3_N	Pfsa4_+	Pfsa4_N	Pfsa12_--	Pfsa12_-+	Pfsa12_+-	Pfsa12_++	Pfsa13_--	Pfsa13_-+	Pfsa13_+-	Pfsa13_++	Pfsa14_--	Pfsa14_-+	Pfsa14_+-	Pfsa14_++	Pfsa23_--	Pfsa23_-+	Pfsa23_+-	Pfsa23_++	Pfsa24_--	Pfsa24_-+	Pfsa24_+-	Pfsa24_++	Pfsa34_--	Pfsa34_-+	Pfsa34_+-	Pfsa34_++
Senegal	-17.723703579999924	14.708931451462494	4798	MalariaGEN Pf7	27	88	0	92	37	84	33	91	60	0	27	0	35	21	10	15	45	16	12	15	46	37	0	0	57	33	0	0	35	12	18	18
Senegal	-17.723703579999924	14.708931451462494	4798	Schaffner et al Senegal 2023	11	22	0	23	9	18	8	16	11	0	11	0	8	1	1	8	6	3	2	5	9	9	0	0	8	8	0	0	4	2	2	5
Senegal	-16.72370358000017	12.976885788268605	4871	MalariaGEN Pf7	86	206	0	231	120	191	50	198	120	0	85	0	48	58	21	51	81	26	59	21	71	118	0	0	147	49	0	0	52	15	78	30
Senegal	-16.72370358000017	12.976885788268605	4871	Schaffner et al Senegal 2023	9	25	0	27	7	23	3	21	16	0	9	0	14	1	1	6	12	0	5	3	16	7	0	0	18	3	0	0	11	1	5	2
Senegal	-16.723703580000326	14.708931451462519	4872	Schaffner et al Senegal 2023	1	7	0	8	2	8	2	6	6	0	1	0	5	1	0	1	3	1	0	1	5	2	0	0	3	2	0	0	3	1	0	1
Gambia	-16.223703580000027	13.842908780689692	4908	MalariaGEN Pf7	40	183	0	218	30	165	34	159	138	0	40	0	115	5	4	23	96	12	15	18	131	30	0	0	120	34	0	0	91	12	14	13
Gambia	-16.223703580000027	13.842908780689692	4908	Schaffner et al Senegal 2023	6	11	0	14	7	13	5	10	5	0	6	0	4	0	0	6	2	2	2	3	6	7	0	0	5	5	0	0	2	2	3	3
Senegal	-15.723703579999807	12.976885788268282	4945	MalariaGEN Pf7	16	59	0	59	28	56	16	51	43	0	15	0	24	16	2	12	27	10	8	6	27	27	0	0	35	15	0	0	17	6	15	8
Senegal	-15.723703579999807	12.976885788268282	4945	Schaffner et al Senegal 2023	20	59	0	65	23	55	23	55	39	0	20	0	25	10	5	11	17	15	13	5	32	23	0	0	32	23	0	0	15	10	9	11
Senegal	-14.223703579999908	13.842908780689811	5056	MalariaGEN Pf7	191	482	1	591	277	489	178	467	282	1	187	0	125	125	36	128	162	73	95	80	194	271	0	1	284	168	0	1	105	48	153	99
